Second 0:
  Body Pose:
    Landmark 1: (483, 212) | Visibility: 1.000
    Landmark 2: (499, 220) | Visibility: 1.000
    Landmark 3: (514, 226) | Visibility: 1.000
    Landmark 4: (442, 190) | Visibility: 1.000
    Landmark 5: (427, 182) | Visibility: 0.999
    Landmark 6: (412, 176) | Visibility: 0.999
    Landmark 7: (519, 238) | Visibility: 0.999
    Landmark 8: (381, 178) | Visibility: 0.999
    Landmark 9: (444, 273) | Visibility: 1.000
    Landmark 10: (400, 256) | Visibility: 1.000
    Landmark 11: (519, 336) | Visibility: 1.000
    Landmark 12: (208, 289) | Visibility: 0.999
    Landmark 13: (445, 613) | Visibility: 0.820
    Landmark 14: (157, 553) | Visibility: 0.875
    Landmark 15: (334, 843) | Visibility: 0.750
    Landmark 16: (133, 800) | Visibility: 0.802
    Landmark 17: (311, 916) | Visibility: 0.716
    Landmark 18: (126, 873) | Visibility: 0.743
    Landmark 19: (287, 906) | Visibility: 0.717
    Landmark 20: (172, 876) | Visibility: 0.728
    Landmark 21: (288, 881) | Visibility: 0.722
    Landmark 22: (190, 854) | Visibility: 0.719
    Landmark 23: (432, 675) | Visibility: 0.999
    Landmark 24: (276, 670) | Visibility: 0.999
    Landmark 25: (557, 555) | Visibility: 0.766
    Landmark 26: (240, 550) | Visibility: 0.748
    Landmark 27: (482, 977) | Visibility: 0.541
    Landmark 28: (209, 996) | Visibility: 0.402
    Landmark 29: (454, 1036) | Visibility: 0.556
    Landmark 30: (221, 1029) | Visibility: 0.390
    Landmark 31: (599, 1135) | Visibility: 0.489
    Landmark 32: (199, 1192) | Visibility: 0.375
Second 13:
  Body Pose:
    Landmark 0: (453, 250) | Visibility: 1.000
    Landmark 1: (493, 231) | Visibility: 1.000
    Landmark 2: (507, 239) | Visibility: 1.000
    Landmark 3: (520, 246) | Visibility: 1.000
    Landmark 4: (451, 204) | Visibility: 1.000
    Landmark 5: (436, 193) | Visibility: 1.000
    Landmark 6: (423, 182) | Visibility: 0.999
    Landmark 7: (525, 256) | Visibility: 1.000
    Landmark 8: (397, 175) | Visibility: 0.999
    Landmark 9: (449, 287) | Visibility: 1.000
    Landmark 10: (410, 266) | Visibility: 1.000
    Landmark 11: (520, 347) | Visibility: 1.000
    Landmark 12: (214, 271) | Visibility: 0.999
    Landmark 13: (432, 629) | Visibility: 0.837
    Landmark 14: (159, 552) | Visibility: 0.887
    Landmark 15: (323, 842) | Visibility: 0.774
    Landmark 16: (122, 819) | Visibility: 0.822
    Landmark 17: (298, 916) | Visibility: 0.743
    Landmark 18: (117, 891) | Visibility: 0.768
    Landmark 19: (268, 902) | Visibility: 0.745
    Landmark 20: (163, 893) | Visibility: 0.755
    Landmark 21: (269, 878) | Visibility: 0.749
    Landmark 22: (181, 871) | Visibility: 0.747
    Landmark 23: (404, 656) | Visibility: 0.999
    Landmark 24: (250, 644) | Visibility: 0.999
    Landmark 25: (559, 555) | Visibility: 0.790
    Landmark 26: (237, 538) | Visibility: 0.773
    Landmark 27: (482, 992) | Visibility: 0.587
    Landmark 28: (195, 1004) | Visibility: 0.461
    Landmark 29: (446, 1044) | Visibility: 0.600
    Landmark 30: (192, 1026) | Visibility: 0.451
    Landmark 31: (610, 1154) | Visibility: 0.538
    Landmark 32: (189, 1208) | Visibility: 0.436
